#1
char Aclass(3,11)
Atrajectory
1.1

char name(7,6)
time
h
der(h)
v
der(v)
g
e

char description(7,31)
Time in [s]
height, used as state
velocity of ball
velocity of ball, used as state
acceleration of ball
acceleration of gravity
dimensionless parameter

int dataInfo(7,4)
0 1 0 -1 # time
2 2 0 -1 # h
2 3 0 -1 # der(h)
2 4 0 -1 # v
2 5 0 -1 # der(v)
1 2 0 -1 # g
2 6 0 -1 # e
 2.00000000000000E+00 5.50216489959994E-02 -3.45090293999998E-01 -3.45090293999998E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.02000000000000E+00 4.63540431159994E-02 -5.41290293999998E-01 -5.41290293999998E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.04000000000000E+00 3.37624372359995E-02 -7.37490293999998E-01 -7.37490293999998E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.06000000000000E+00 1.72468313559995E-02 -9.33690293999997E-01 -9.33690293999997E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.08000000000000E+00 5.82144475599572E-04 7.57569205799998E-01 7.57569205799998E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.10000000000000E+00 1.39677285915995E-02 5.61369205799998E-01 5.61369205799998E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.12000000000000E+00 2.34293127075995E-02 3.65169205799998E-01 3.65169205799998E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.14000000000000E+00 2.89668968235995E-02 1.68969205799998E-01 1.68969205799998E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.16000000000000E+00 3.05804809395994E-02 -2.72307942000018E-02 -2.72307942000018E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.18000000000000E+00 2.82700650555994E-02 -2.23430794200002E-01 -2.23430794200002E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.20000000000000E+00 2.20356491715994E-02 -4.19630794200002E-01 -4.19630794200002E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.22000000000000E+00 1.18772332875993E-02 -6.15830794200002E-01 -6.15830794200002E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.24000000000000E+00 4.89014103879286E-04 5.35067555940001E-01 5.35067555940001E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.26000000000000E+00 9.42456522267931E-03 3.38867555940001E-01 3.38867555940001E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.28000000000000E+00 1.44361163414793E-02 1.42667555940001E-01 1.42667555940001E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.30000000000000E+00 1.55236674602793E-02 -5.35324440599991E-02 -5.35324440599991E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.32000000000000E+00 1.26872185790794E-02 -2.49732444059999E-01 -2.49732444059999E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.34000000000000E+00 5.92676969787938E-03 -4.45932444059999E-01 -4.45932444059999E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.36000000000000E+00 2.90799405589538E-03 3.16076710841999E-01 3.16076710841999E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.38000000000000E+00 7.46372827273537E-03 1.19876710841999E-01 1.19876710841999E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.40000000000000E+00 8.09546248957535E-03 -7.63232891580007E-02 -7.63232891580007E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.42000000000000E+00 4.80319670641534E-03 -2.72523289158001E-01 -2.72523289158001E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.44000000000000E+00 5.07417289529726E-04 2.61398302410601E-01 2.61398302410601E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.46000000000000E+00 3.96958333774174E-03 6.51983024106007E-02 6.51983024106007E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.48000000000000E+00 3.50774938595375E-03 -1.31001697589399E-01 -1.31001697589399E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.50000000000000E+00 1.67693205969722E-04 1.95687188312580E-01 1.95687188312580E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.52000000000000E+00 2.31563697222131E-03 -5.12811687420407E-04 -5.12811687420407E-04 -9.81000000000000E+00 7.00000000000000E-01
 2.54000000000000E+00 5.39580738472905E-04 -1.96712811687420E-01 -1.96712811687420E-01 -9.81000000000000E+00 7.00000000000000E-01
 2.56000000000000E+00 1.25744098262233E-03 8.20696818119428E-03 8.20696818119428E-03 -9.81000000000000E+00 7.00000000000000E-01
 2.58000000000000E+00 2.28248654430157E-04 9.82411222731640E-02 9.82411222731640E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.60000000000000E+00 4.27271099893437E-04 -9.79588777268360E-02 -9.79588777268360E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.62000000000000E+00 4.34103019526657E-04 -6.09207855912148E-02 -6.09207855912148E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.64000000000000E+00 3.00670004773273E-04 -5.34934500861497E-02 -5.34934500861497E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.66000000000000E+00 1.39013115100641E-04 -5.86925849396953E-02 -5.86925849396953E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.68000000000000E+00 -1.36872273333553E-04 6.18850333795493E-02 6.18850333795493E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.70000000000000E+00 1.04669053786030E-04 -6.04152336568452E-03 -6.04152336568452E-03 -9.81000000000000E+00 7.00000000000000E-01
 2.72000000000000E+00 8.47721696530216E-06 3.09822535508146E-02 3.09822535508146E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.74000000000000E+00 3.32397761774587E-06 -5.11175774855702E-02 -5.11175774855702E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.76000000000000E+00 7.54199957178187E-05 -1.11174129679294E-02 -1.11174129679294E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.78000000000000E+00 9.80614404958945E-05 -1.48651323542854E-02 -1.48651323542854E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.80000000000000E+00 1.20927748437152E-04 -1.67015148535998E-02 -1.67015148535998E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.82000000000000E+00 3.98730995292633E-05 2.57588577217361E-02 2.57588577217361E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.84000000000000E+00 1.90496726944715E-05 -4.74612004052153E-02 -4.74612004052153E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.86000000000000E+00 7.84946260965163E-05 -9.32578819855548E-03 -9.32578819855548E-03 -9.81000000000000E+00 7.00000000000000E-01
 2.88000000000000E+00 9.15162694259030E-05 -3.98103621729218E-03 -3.98103621729218E-03 -9.81000000000000E+00 7.00000000000000E-01
 2.90000000000000E+00 1.09668874657302E-04 -1.36210774647316E-03 -1.36210774647316E-03 -9.81000000000000E+00 7.00000000000000E-01
 2.92000000000000E+00 6.83226765729434E-06 3.32751672042281E-02 3.32751672042281E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.94000000000000E+00 8.55776926997868E-06 -5.27226170429597E-02 -5.27226170429597E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.96000000000000E+00 8.62072242386192E-05 -1.19038823510503E-02 -1.19038823510503E-02 -9.81000000000000E+00 7.00000000000000E-01
 2.98000000000000E+00 1.08895857179682E-04 -1.52505023520146E-02 -1.52505023520146E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.00000000000000E+00 2.57807705195429E-05 2.64698538475128E-02 2.64698538475128E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.02000000000000E+00 7.09033206208128E-06 -4.79588976932590E-02 -4.79588976932590E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.04000000000000E+00 4.08355415708010E-05 -4.29236598696969E-02 -4.29236598696969E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.06000000000000E+00 8.45806047199522E-05 -7.10239333615149E-03 -7.10239333615149E-03 -9.81000000000000E+00 7.00000000000000E-01
 3.08000000000000E+00 9.97367071172468E-05 -2.89157273471422E-03 -2.89157273471422E-03 -9.81000000000000E+00 7.00000000000000E-01
 3.10000000000000E+00 -9.28059599459159E-07 3.25257293599900E-02 3.25257293599900E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.12000000000000E+00 -1.45087151948907E-06 3.65386073863951E-02 3.65386073863951E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.14000000000000E+00 1.00649506396962E-05 -5.50070251704766E-02 -5.50070251704766E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.16000000000000E+00 9.56184577295452E-05 -1.30232423335335E-02 -1.30232423335335E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.18000000000000E+00 9.34066184316278E-06 2.75612112565686E-02 2.75612112565686E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.20000000000000E+00 4.58614601311685E-05 2.40997935157186E-02 2.40997935157186E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.22000000000000E+00 2.00608406783243E-05 -4.62998554610030E-02 -4.62998554610030E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.24000000000000E+00 5.20142845762074E-05 -4.21107291758915E-02 -4.21107291758915E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.26000000000000E+00 9.29466075247920E-05 -6.70405729618683E-03 -6.70405729618683E-03 -9.81000000000000E+00 7.00000000000000E-01
 3.28000000000000E+00 -2.30443111462278E-06 3.06576119248685E-02 3.06576119248685E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.30000000000000E+00 -8.43159534001750E-06 3.56232298431855E-02 3.56232298431855E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.32000000000000E+00 3.38094189539126E-07 -5.43662608902299E-02 -5.43662608902299E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.34000000000000E+00 8.36745568697345E-05 -1.27092678362126E-02 -1.27092678362126E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.36000000000000E+00 1.06411512939907E-04 -1.56451412397442E-02 -1.56451412397442E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.38000000000000E+00 2.38568135003440E-05 2.62764807925253E-02 2.62764807925253E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.40000000000000E+00 5.78338454695442E-05 2.34702755883374E-02 2.34702755883374E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.42000000000000E+00 3.01446722345564E-05 -4.58591929118362E-02 -4.58591929118362E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.44000000000000E+00 8.40466797095096E-05 -8.54080452679973E-03 -8.54080452679973E-03 -9.81000000000000E+00 7.00000000000000E-01
 3.46000000000000E+00 9.78219073637818E-05 -3.59639421813187E-03 -3.59639421813187E-03 -9.81000000000000E+00 7.00000000000000E-01
 3.48000000000000E+00 -1.84201284647108E-06 3.21803668331154E-02 3.21803668331154E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.50000000000000E+00 -3.40091234712500E-06 3.63693797482265E-02 3.63693797482265E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.52000000000000E+00 7.60722689755460E-06 -5.48885658237586E-02 -5.48885658237586E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.54000000000000E+00 9.27508646477593E-05 -1.29651972536417E-02 -1.29651972536417E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.56000000000000E+00 6.39064474793039E-06 2.75896533457156E-02 2.75896533457156E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.58000000000000E+00 4.29677583724472E-05 2.41137301394006E-02 2.41137301394006E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.60000000000000E+00 1.72089487906491E-05 -4.63096110975804E-02 -4.63096110975804E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.62000000000000E+00 4.91729287760359E-05 -4.21155094378144E-02 -4.21155094378144E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.64000000000000E+00 9.01217914308737E-05 -6.70639962452908E-03 -6.70639962452908E-03 -9.81000000000000E+00 7.00000000000000E-01
 3.66000000000000E+00 1.05658047791326E-04 -2.69753581601924E-03 -2.69753581601924E-03 -9.81000000000000E+00 7.00000000000000E-01
 3.68000000000000E+00 4.71774865007304E-06 3.26208074501506E-02 3.26208074501506E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.70000000000000E+00 4.48017100052466E-06 -5.22645652151054E-02 -5.22645652151054E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.72000000000000E+00 8.05447666447893E-05 -1.16794369554016E-02 -1.16794369554016E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.74000000000000E+00 1.03219932862113E-04 -1.51405241081468E-02 -1.51405241081468E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.76000000000000E+00 1.99486770956817E-05 2.65237431870081E-02 2.65237431870081E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.78000000000000E+00 5.44152886059577E-05 2.35914341616340E-02 2.35914341616340E-02 -9.81000000000000E+00 7.00000000000000E-01
 3.80000000000000E+00 2.70895910908594E-05 -4.59440039131438E-02 -4.59440039131438E-02 -9.81000000000000E+00 7.00000000000000E-01
